country_whitelist,country_blacklist,parents,title,alias
,,bicycles,Bike Repair,bikerepair
PT,,,Bike Repair,bikerepair
DK,,,Bike Repair,bikerepair
,,sportgoods,Bikes,bikes
,,transport,Bike Sharing,bikesharing
,,bicycles,Bike Shop,bikeshop
PT,,,Bike Shop,bikeshop
DK,,,Bike Shop,bikeshop
,,tours,Bike tours,biketours
,,professional,Billing Services,billingservices
SE,,,Billing Services,billingservices
US,,,Billing Services,billingservices
,,arts,Bingo Halls,bingo
AR,,,Bingo Halls,bingo
AU,,,Bingo Halls,bingo
DK,,,Bingo Halls,bingo
US,,,Bingo Halls,bingo
CL,,,Bingo Halls,bingo
ES,,,Bingo Halls,bingo
IE,,,Bingo Halls,bingo
IT,,,Bingo Halls,bingo
FI,,,Bingo Halls,bingo
NO,,,Bingo Halls,bingo
BR,,,Bingo Halls,bingo
SE,,,Bingo Halls,bingo
NZ,,,Bingo Halls,bingo
GB,,,Bingo Halls,bingo
MX,,,Bingo Halls,bingo
,,localservices,Biohazard Cleanup,biohazardcleanup
,,petstore,Bird Shops,birdshops
DE,,,Bird Shops,birdshops
DK,,,Bird Shops,birdshops
US,,,Bird Shops,birdshops
BE,,,Bird Shops,birdshops
ES,,,Bird Shops,birdshops
NL,,,Bird Shops,birdshops
IT,,,Bird Shops,birdshops
NO,,,Bird Shops,birdshops
SE,,,Bird Shops,birdshops
SG,,,Bird Shops,birdshops
,,restaurants,Bistros,bistros
,US,,Bistros,bistros
,,restaurants,Black Sea,blacksea
TR,,,Black Sea,blacksea
,,homeservices,Shades & Blinds,blinds
,,health,Blood & Plasma Donation Centers,blooddonation
,MY,,Blood & Plasma Donation Centers,blooddonation
,TW,,Blood & Plasma Donation Centers,blooddonation
,CA,,Blood & Plasma Donation Centers,blooddonation
,BE,,Blood & Plasma Donation Centers,blooddonation
,NL,,Blood & Plasma Donation Centers,blooddonation
,IE,,Blood & Plasma Donation Centers,blooddonation
,HK,,Blood & Plasma Donation Centers,blooddonation
,SG,,Blood & Plasma Donation Centers,blooddonation
,PH,,Blood & Plasma Donation Centers,blooddonation
,GB,,Blood & Plasma Donation Centers,blooddonation
,,japanese,Blowfish,blowfish
JP,,,Blowfish,blowfish
,,hair,Blow Dry/Out Services,blowoutservices
DK,,,Blow Dry/Out Services,blowoutservices
AU,,,Blow Dry/Out Services,blowoutservices
CA,,,Blow Dry/Out Services,blowoutservices
US,,,Blow Dry/Out Services,blowoutservices
PT,,,Blow Dry/Out Services,blowoutservices
IE,,,Blow Dry/Out Services,blowoutservices
FR,,,Blow Dry/Out Services,blowoutservices
TR,,,Blow Dry/Out Services,blowoutservices
NO,,,Blow Dry/Out Services,blowoutservices
CZ,,,Blow Dry/Out Services,blowoutservices
GB,,,Blow Dry/Out Services,blowoutservices
,,eventservices,Boat Charters,boatcharters
,CZ,,Boat Charters,boatcharters
,,auto,Boat Dealers,boatdealers
,MY,,Boat Dealers,boatdealers
,TW,,Boat Dealers,boatdealers
,JP,,Boat Dealers,boatdealers
,CL,,Boat Dealers,boatdealers
,FR,,Boat Dealers,boatdealers
,HK,,Boat Dealers,boatdealers
,IT,,Boat Dealers,boatdealers
,TR,,Boat Dealers,boatdealers
,FI,,Boat Dealers,boatdealers
,BR,,Boat Dealers,boatdealers
,PH,,Boat Dealers,boatdealers
,,active,Boating,boating
,,auto,Boat Parts & Supplies,boatpartsandsupplies
,,professional,Boat Repair,boatrepair
,CZ,,Boat Repair,boatrepair
,,tours,Boat Tours,boattours
